Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
674,Bryan Abreu,28,HOU,1,0,0,0,0,0,0,0,0,,,,abreubr01
675,Zach Agnos,24,COL,1,0,0,0,0,0,0,0,0,,,,agnosza01
676,Keegan Akin*,30,BAL,2,0,0,0,0,0,0,0,0,,,,akinke01
677,Elvis Alvarado,26,ATH,1,0,0,0,0,0,0,0,0,,,,alvarel01
678,Shawn Armstrong,34,TEX,1,0,0,0,0,0,0,0,0,,,,armstsh01
679,Luinder Avila,23,KCR,1,0,0,0,0,0,0,0,0,,,,avilalu02
680,Kyle Backhus*,27,ARI,1,0,0,0,0,0,0,0,0,,,,backhky01
681,Bryan Baker,30,BAL,1,0,0,0,0,0,0,0,0,,,,bakerbr01
682,Anthony Banda*,31,LAD,1,0,0,0,0,0,0,0,0,,,,bandaan01
683,Félix Bautista,30,BAL,1,0,0,0,0,0,0,0,0,,,,bautife01
684,Brennan Bernardino*,33,BOS,1,0,0,0,0,0,0,0,0,,,,bernabr01
685,Jake Bird,29,COL,1,0,0,0,0,0,0,0,0,,,,birdja01
686,Hayden Birdsong,23,SFG,1,0,0,0,0,0,0,0,0,,,,birdsha01
687,Matt Bowman,34,BAL,1,0,0,0,0,0,0,0,0,,,,bowmama01
688,John Brebbia*,35,DET,1,0,0,0,0,0,0,0,0,,,,brebbjo01
689,Yennier Cano,31,BAL,1,0,0,0,0,0,0,0,0,,,,canoye01
690,José Castillo*,29,SEA,1,0,0,0,0,0,0,0,0,,,,castijo03
691,Cade Cavalli,26,WSN,1,0,0,0,0,0,0,0,0,,,,cavalca01
692,Aroldis Chapman*,37,BOS,2,0,0,0,0,0,0,0,0,,,,chapmar01
693,Angel Chivilli,22,COL,1,0,0,0,0,0,0,0,0,,,,chivian01
694,Taylor Clarke,32,KCR,3,0,0,0,0,0,0,0,0,,,,clarkta01
695,Emmanuel Clase,27,CLE,1,0,0,0,0,0,0,0,0,,,,claseem01
696,Steven Cruz,26,KCR,1,0,0,0,0,0,0,0,0,,,,cruzst01
697,John Curtiss,32,ARI,1,0,0,0,0,0,0,0,0,,,,curtijo02
698,Luis Curvelo,24,TEX,1,0,0,0,0,0,0,0,0,,,,curvelu01
699,Enyel De Los Santos,29,HOU,1,0,0,0,0,0,0,0,0,,,,delosen01
700,Yerry De los Santos,27,NYY,1,0,0,0,0,0,0,0,0,,,,delosye01
701,Edwin Díaz,31,NYM,1,0,0,0,0,0,0,0,0,,,,diazed04
702,Seranthony Domínguez,30,BAL,2,0,0,0,0,0,0,0,0,,,,dominse01
703,Jhoan Duran,27,MIN,3,0,0,0,0,0,0,0,0,,,,duranjh01
704,Dietrich Enns*,34,BAL,1,0,0,0,0,0,0,0,0,,,,ennsdi01
705,Lucas Erceg*,30,KCR,2,0,0,0,0,0,0,0,0,,,,erceglu01
706,Carlos Estévez,32,KCR,5,0,0,0,0,0,0,0,0,,,,estevca01
707,Tyler Ferguson,31,ATH,1,0,0,0,0,0,0,0,0,,,,ferguty01
708,Jose A. Ferrer*,25,WSN,1,0,0,0,0,0,0,0,0,,,,ferrejo01
709,Matt Festa,32,CLE,1,0,0,0,0,0,0,0,0,,,,festama01
710,Kody Funderburk*,28,MIN,1,0,0,0,0,0,0,0,0,,,,fundeko01
711,Brandyn Garcia*,25,ARI,1,0,0,0,0,0,0,0,0,,,,garcibr02
712,Robert Garcia,29,TEX,1,0,0,0,0,0,0,0,0,,,,garciro04
713,Yimi García,34,TOR,1,0,0,0,0,0,0,0,0,,,,garciyi01
714,Josh Hader*,31,HOU,1,0,0,0,0,0,0,0,0,,,,haderjo01
715,Seth Halvorsen,25,COL,1,0,0,0,0,0,0,0,0,,,,halvose01
716,Emerson Hancock,26,SEA,1,0,0,0,0,0,0,0,0,,,,hancoem01
717,Ryan Helsley,30,STL,1,0,0,0,0,0,0,0,0,,,,helslry01
718,Tim Herrin*,28,CLE,1,0,0,0,0,0,0,0,0,,,,herriti01
719,Jeff Hoffman,32,TOR,2,0,0,0,0,0,0,0,0,,,,hoffmje02
720,Drey Jameson,27,ARI,1,0,0,0,0,0,0,0,0,,,,jamesdr01
721,Kenley Jansen#,37,LAA,1,0,0,0,0,0,0,0,0,,,,janseke01
722,Griffin Jax,30,MIN,1,0,0,0,0,0,0,0,0,,,,jaxgr01
723,Tommy Kahnle,35,DET,1,0,0,0,0,0,0,0,0,,,,kahnlto01
724,Kevin Kelly,27,TBR,1,0,0,0,0,0,0,0,0,,,,kellyke02
725,Michael Kelly,32,ATH,1,0,0,0,0,0,0,0,0,,,,kellymi03
726,Andrew Kittredge,35,BAL,2,0,0,0,0,0,0,0,0,,,,kittran01
727,Jordan Leasure,26,CHW,1,0,0,0,0,0,0,0,0,,,,leasujo01
728,Casey Legumina,28,SEA,1,0,0,0,0,0,0,0,0,,,,legumca01
729,Sam Long*,29,KCR,1,0,0,0,0,0,0,0,0,,,,longsa01
730,Daniel Lynch IV*,28,KCR,3,0,0,0,0,0,0,0,0,,,,lynchda02
731,Joe Mantiply,34,ARI,1,0,0,0,0,0,0,0,0,,,,mantijo01
732,Justin Martínez,23,ARI,2,0,0,0,0,0,0,0,0,,,,martiju01
733,Phil Maton,32,STL,1,0,0,0,0,0,0,0,0,,,,matonph01
734,Tyler Matzek*,34,NYY,2,0,0,0,0,0,0,0,0,,,,matzety01
735,Juan Mejia,24,COL,2,0,0,0,0,0,0,0,0,,,,mejiaju01
736,Shelby Miller,34,ARI,2,0,0,0,0,0,0,0,0,,,,millesh01
737,Hoby Milner*,34,TEX,2,0,0,0,0,0,0,0,0,,,,milneho01
738,Juan Morillo,26,ARI,2,0,0,0,0,0,0,0,0,,,,morilju02
739,Kaleb Ort,33,HOU,2,0,0,0,0,0,0,0,0,,,,ortka01
740,Tyler Owens,24,DET,1,0,0,0,0,0,0,0,0,,,,owensty01
741,Andre Pallante,26,STL,1,0,0,0,0,0,0,0,0,,,,pallaan01
742,Cionel Pérez,29,BAL,1,0,0,0,0,0,0,0,0,,,,perezci01
743,Konnor Pilkington*,27,WSN,1,0,0,0,0,0,0,0,0,,,,pilkiko01
744,Zach Pop,28,SEA,1,0,0,0,0,0,0,0,0,,,,popza01
745,PJ Poulin,28,WSN,1,0,0,0,0,0,0,0,0,,,,poulipj01
746,A.J. Puk*,30,ARI,2,0,0,0,0,0,0,0,0,,,,pukaj01
747,Trevor Richards,32,KCR,1,0,0,0,0,0,0,0,0,,,,richatr01
748,Tyler Rogers,34,SFG,1,0,0,0,0,0,0,0,0,,,,rogerty01
749,Jackson Rutledge,26,WSN,1,0,0,0,0,0,0,0,0,,,,rutleja01
750,Andrew Saalfrank*,27,ARI,1,0,0,0,0,0,0,0,0,,,,saalfan01
751,Nick Sandlin,28,TOR,1,0,0,0,0,0,0,0,0,,,,sandlni01
752,John Schreiber,31,KCR,1,0,0,0,0,0,0,0,0,,,,schrejo01
753,Tanner Scott,30,LAD,1,0,0,0,0,0,0,0,0,,,,scottta01
754,Connor Seabold,29,TBR,1,0,0,0,0,0,0,0,0,,,,seaboco01
755,Bennett Sousa*,30,HOU,1,0,0,0,0,0,0,0,0,,,,sousabe01
756,Ryne Stanek,33,NYM,1,0,0,0,0,0,0,0,0,,,,stanery01
757,Ryan Thompson,33,ARI,1,0,0,0,0,0,0,0,0,,,,thompry02
758,Trent Thornton,31,SEA,1,0,0,0,0,0,0,0,0,,,,thorntr01
759,Victor Vodnik,25,COL,1,0,0,0,0,0,0,0,0,,,,vodnivi01
760,Ryan Walker,29,SFG,1,0,0,0,0,0,0,0,0,,,,walkery01
761,Chad Wallach,33,LAA,1,0,0,0,0,0,0,0,0,,,,wallach01
762,Garrett Whitlock,29,BOS,1,0,0,0,0,0,0,0,0,,,,whitlga01
763,Bryse Wilson,27,CHW,1,0,0,0,0,0,0,0,0,,,,wilsobr02
