Tm,G,HR
Arizona Diamondbacks,162,214
Athletics,162,219
Atlanta Braves,162,190
Baltimore Orioles,162,191
Boston Red Sox,162,186
Chicago Cubs,162,223
Chicago White Sox,162,165
Cincinnati Reds,162,167
Cleveland Guardians,162,168
Colorado Rockies,162,160
Detroit Tigers,162,198
Houston Astros,162,182
Kansas City Royals,162,159
Los Angeles Angels,162,226
Los Angeles Dodgers,162,244
Miami Marlins,162,154
Milwaukee Brewers,162,166
Minnesota Twins,162,191
New York Mets,162,224
New York Yankees,162,274
Philadelphia Phillies,162,212
Pittsburgh Pirates,162,117
San Diego Padres,162,152
Seattle Mariners,162,238
San Francisco Giants,162,173
St. Louis Cardinals,162,148
Tampa Bay Rays,162,182
Texas Rangers,162,175
Toronto Blue Jays,162,191
Washington Nationals,162,161
